clase,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,partition
I,0.4429202079772949,0.8767609000205994,-2.229570100098499e-06,0.6601905822753906,0.8466953635215759,-0.168554812669754,0.7946121692657471,0.6708576083183289,-0.2227010428905487,0.7501301765441895,0.4961451292037964,-0.2612194120883941,0.6029437780380249,0.3992065191268921,-0.2711263298988342,0.7637752890586853,0.4902329742908478,-0.1113701537251472,0.7557210922241211,0.3810036778450012,-0.2636416256427765,0.7253805994987488,0.5037964582443237,-0.3162669837474823,0.7210285067558289,0.5747095346450806,-0.3180027902126312,0.5910668969154358,0.4774838387966156,-0.0779895558953285,0.5696606040000916,0.408037781715393,-0.2674729526042938,0.5833152532577515,0.5808696746826172,-0.3002397418022156,0.6020413041114807,0.6513165235519409,-0.2682597935199737,0.4313977658748626,0.4917233288288116,-0.0766220986843109,0.4087715744972229,0.4315787851810455,-0.2734365165233612,0.4721923768520355,0.5972493886947632,-0.2710256576538086,0.5214682817459106,0.6968268156051636,-0.2028494030237198,0.2772965431213379,0.5114657282829285,-0.0863817632198333,0.2715422213077545,0.3375408053398132,-0.2023457735776901,0.26459401845932,0.2283719629049301,-0.2290947288274765,0.2565140128135681,0.1200659871101379,-0.2157428413629531,train
I,0.5522570610046387,0.8920093178749084,-1.937226670634118e-06,0.7603369951248169,0.7695472836494446,-0.0211015604436397,0.838471531867981,0.5910171270370483,-0.0178774539381265,0.7424598932266235,0.4705460965633392,-0.0206997375935316,0.5632295608520508,0.4794974327087402,-0.001042888732627,0.6833509802818298,0.4052988886833191,0.009057892486453,0.7269851565361023,0.2646559774875641,-0.0692562237381935,0.7228478789329529,0.4058148562908172,-0.1087608709931373,0.6961237788200378,0.4871480762958526,-0.1169037818908691,0.534003734588623,0.4148433804512024,-0.0147473756223917,0.5533225536346436,0.2717255353927612,-0.095573678612709,0.5925441980361938,0.4369567930698395,-0.1202207207679748,0.5941627621650696,0.5073171854019165,-0.1153567880392074,0.3890536427497864,0.4368193745613098,-0.0492803044617176,0.38904470205307,0.2848775684833526,-0.1131670027971267,0.4703301191329956,0.4451938271522522,-0.0941894799470901,0.5020056962966919,0.5509234666824341,-0.0603734701871871,0.2466617226600647,0.4696756601333618,-0.0872144550085067,0.1890300214290619,0.2999951839447021,-0.1064597740769386,0.2032171487808227,0.2111364006996154,-0.0988078787922859,0.220715045928955,0.1148155629634857,-0.0897986143827438,valid
D,0.2743467390537262,0.6957401037216187,9.19179569791595e-07,0.3547181785106659,0.5655316114425659,0.0225366707891225,0.4382210075855255,0.4292735755443573,0.0128640830516815,0.5292462110519409,0.3561976253986358,-0.0048053977079689,0.6014328598976135,0.3240179717540741,-0.0218607615679502,0.4073255062103271,0.2550054788589477,-0.0255682282149791,0.5792772769927979,0.210772156715393,-0.05620127171278,0.6701905131340027,0.1689362227916717,-0.0741861686110496,0.7413939833641052,0.1299217939376831,-0.0873878970742225,0.4063408672809601,0.2883495688438415,-0.0559195727109909,0.6035853028297424,0.3216462433338165,-0.094263918697834,0.7010628581047058,0.392722338438034,-0.1074452474713325,0.7670844197273254,0.4539020657539367,-0.1132129877805709,0.4186955988407135,0.3634291589260101,-0.083004891872406,0.6047765016555786,0.4074754416942596,-0.112245887517929,0.6947192549705505,0.4693218767642975,-0.1150731742382049,0.7560738325119019,0.5209145545959473,-0.1137595325708389,0.4437073767185211,0.4620693922042846,-0.1087110415101051,0.5860431790351868,0.4952159821987152,-0.1211032792925834,0.6549620628356934,0.5336605906486511,-0.1177365481853485,0.708602786064148,0.5628534555435181,-0.1130639016628265,train
I,0.7280025482177734,0.780794620513916,-1.7431215155738755e-06,0.860099196434021,0.6663483381271362,-0.1098189949989318,0.845196008682251,0.4894000291824341,-0.1433676034212112,0.6897810697555542,0.372017502784729,-0.1639354377985,0.5286697149276733,0.3809996247291565,-0.1587720066308975,0.7760769724845886,0.2765475213527679,-0.0695376321673393,0.6774066686630249,0.1367214322090149,-0.1486571729183197,0.6754146814346313,0.254770278930664,-0.1771607846021652,0.7071859240531921,0.3362577259540558,-0.1801349967718124,0.6320294737815857,0.3105288445949554,-0.0434569604694843,0.5467315912246704,0.1788288801908493,-0.1039168015122413,0.5832229852676392,0.3478839993476867,-0.1033696606755256,0.6162523627281189,0.3737811148166656,-0.0846107825636863,0.5100957155227661,0.3602834641933441,-0.0362402386963367,0.4327967464923858,0.2286518216133117,-0.0956002920866012,0.4836094975471496,0.3639090657234192,-0.0723170340061187,0.5437592267990112,0.4522308707237243,-0.038472194224596,0.4089516997337341,0.4307829439640045,-0.0404951088130474,0.2910302579402923,0.2934741973876953,-0.0740665197372436,0.2177574336528778,0.2297598272562027,-0.0730440691113472,0.1742848455905914,0.1724604070186615,-0.0633256807923317,train
L,0.3866154551506042,0.8801499009132385,5.860016472070129e-07,0.5286203622817993,0.7572827339172363,-0.1293011158704757,0.631361722946167,0.6516709923744202,-0.1781494617462158,0.7674444317817688,0.5439270734786987,-0.2029723972082138,0.8930314183235168,0.490237295627594,-0.205161765217781,0.4916024804115295,0.4435174465179443,-0.0466441512107849,0.4766426086425781,0.2931858897209167,-0.1130428090691566,0.4621481597423553,0.1913502216339111,-0.1547876000404358,0.4401935935020447,0.0993342399597168,-0.1787341386079788,0.3826774358749389,0.4729980230331421,0.0010743467137217,0.3423719406127929,0.378540575504303,-0.0647862032055854,0.3677685856819153,0.5254368782043457,-0.0462953113019466,0.3957078456878662,0.5702090859413147,-0.0112675391137599,0.2798101305961609,0.5223421454429626,0.0273541118949651,0.2431096732616424,0.4421105980873108,-0.0572316721081733,0.2893087267875671,0.5686930418014526,-0.0143232177942991,0.3359524607658386,0.5976476073265076,0.0410478115081787,0.205240249633789,0.5862982869148254,0.0427095890045166,0.1555730700492859,0.5304215550422668,0.0074669308960437,0.2194008529186248,0.6095008850097656,0.0519127510488033,0.2692721486091614,0.6386072039604187,0.0970764830708503,train
E,0.3413501977920532,0.8171840906143188,6.078301453271706e-07,0.5066704154014587,0.7561720013618469,-0.0902744680643081,0.6564135551452637,0.5967457294464111,-0.1262735426425933,0.772291898727417,0.4732275307178497,-0.1628252863883972,0.8808130025863647,0.4156176447868347,-0.1968063414096832,0.4913970828056335,0.3501079678535461,-0.0050501315854489,0.4776988923549652,0.1710980385541916,-0.0740621387958526,0.487589418888092,0.1445961743593216,-0.1431005746126175,0.4991713166236877,0.2120353579521179,-0.1762913763523101,0.3846285045146942,0.3457439839839935,0.0063558188267052,0.3611503541469574,0.1356713473796844,-0.0625806227326393,0.3766624927520752,0.1406508833169937,-0.1407368630170822,0.4023527204990387,0.2391030490398407,-0.1778575927019119,0.2829336524009704,0.3664073348045349,0.0027012818027287,0.2625414431095123,0.1834349185228347,-0.0552486777305603,0.280837208032608,0.1783797442913055,-0.1179263293743133,0.3078057169914245,0.2679608166217804,-0.1431127041578292,0.1771543025970459,0.4087765216827392,-0.0095034511759877,0.1624786555767059,0.2495258748531341,-0.0494766570627689,0.1817528456449508,0.2190932631492614,-0.080666646361351,0.2125564962625503,0.2611255049705505,-0.0911919549107551,train
L,0.3462734818458557,0.9024980068206788,9.27204609979526e-07,0.5077433586120605,0.7848151326179504,-0.1249967068433761,0.6265125870704651,0.6887273788452148,-0.1765718311071396,0.7610246539115906,0.5941101908683777,-0.2058992683887481,0.8870316743850708,0.5438013076782227,-0.2149783819913864,0.4918031990528106,0.466181993484497,-0.0501482561230659,0.4994238317012787,0.308523416519165,-0.1079165264964103,0.4993531107902527,0.1994584202766418,-0.1449079066514969,0.485388308763504,0.1013652980327606,-0.1686968356370926,0.3765173852443695,0.4904379844665527,-0.0108118811622262,0.3614096045494079,0.3889099359512329,-0.0793524160981178,0.3852401375770569,0.5380733609199524,-0.0726392716169357,0.3979712724685669,0.5926764011383057,-0.0466294959187507,0.2655222713947296,0.5432676672935486,0.0107597820460796,0.2584362030029297,0.459799975156784,-0.0797059312462806,0.3031250536441803,0.5925578474998474,-0.0444604456424713,0.3260234594345093,0.6220159530639648,0.0064119384624063,0.1779399514198303,0.611771821975708,0.0230943597853183,0.1627770066261291,0.5422804951667786,-0.0176321994513273,0.2242498099803924,0.6294832825660706,0.0265736505389213,0.2500044107437134,0.6576281189918518,0.0712303817272186,train
A,0.320977509021759,0.7506729364395142,-1.3150186077837134e-06,0.5346042513847351,0.690010666847229,-0.0973167121410369,0.7380300760269165,0.5033156871795654,-0.1215907409787178,0.8207083940505981,0.3058967888355255,-0.1344064176082611,0.7700088024139404,0.1629077494144439,-0.1316854953765869,0.6368715763092041,0.3259159326553345,-0.0634617283940315,0.6674332022666931,0.1751808077096939,-0.1587878763675689,0.6095480918884277,0.3414375185966491,-0.1911237090826034,0.5695458650588989,0.4453817009925842,-0.1903816163539886,0.494561105966568,0.3028821945190429,-0.0418340116739273,0.5200613737106323,0.1487486660480499,-0.1527025997638702,0.4807958900928497,0.34811732172966,-0.1657198071479797,0.4714057147502899,0.4528418183326721,-0.1422665864229202,0.3499281108379364,0.3075350522994995,-0.0363165847957134,0.375897616147995,0.1523502767086029,-0.1439495384693145,0.3685787320137024,0.3497248888015747,-0.1029404029250145,0.3674712777137756,0.463050365447998,-0.0412532947957515,0.2054871767759323,0.3338878154754638,-0.0376052670180797,0.2528863549232483,0.1973832845687866,-0.1062434688210487,0.263507068157196,0.3331596851348877,-0.0718233585357666,0.259361207485199,0.4246164560317993,-0.0225273519754409,train
L,0.4062613546848297,0.8901448249816895,1.2011472563244752e-06,0.5013430118560791,0.841544508934021,-0.2225618064403534,0.6044988632202148,0.773074746131897,-0.3481066226959228,0.7552926540374756,0.7529150247573853,-0.4487598538398742,0.8772106170654297,0.7569972276687622,-0.5321864485740662,0.5792545676231384,0.4822871088981628,-0.199395939707756,0.592919111251831,0.3163908123970032,-0.3317894339561462,0.5912670493125916,0.2056577503681183,-0.3852046132087707,0.5886270999908447,0.0996431112289428,-0.406916856765747,0.4542753398418426,0.5088440179824829,-0.1398112326860427,0.3789869546890259,0.4499008059501648,-0.2585338652133941,0.4195095896720886,0.6048771739006042,-0.2239272445440292,0.4882948696613312,0.6040902733802795,-0.1668998152017593,0.3358506858348846,0.5389694571495056,-0.1133858636021614,0.2697599530220032,0.5068188905715942,-0.2386445701122284,0.32253497838974,0.637261688709259,-0.173997700214386,0.3849686980247497,0.6281035542488098,-0.0967812314629554,0.229260042309761,0.5758078694343567,-0.11015185713768,0.1692632734775543,0.5453262329101562,-0.1727799326181411,0.2166036963462829,0.6277161836624146,-0.1235069334506988,0.261815994977951,0.6465606689453125,-0.0675254464149475,train
D,0.2416169494390487,0.8391593098640442,4.286204458026077e-08,0.4638274312019348,0.7843744158744812,0.1186180338263511,0.5689392685890198,0.7112095952033997,0.1318332403898239,0.6785216331481934,0.6764819025993347,0.1058888360857963,0.7564464807510376,0.6296485662460327,0.0753454342484474,0.4419877231121063,0.4939656257629394,0.0553227365016937,0.4949378371238708,0.3390518426895141,0.0181961748749017,0.5515339970588684,0.2384684532880783,-0.017604237422347,0.5886322259902954,0.1559586226940155,-0.0442335456609725,0.3960220515727997,0.5061464905738831,-0.0391565784811973,0.6576905250549316,0.4447988867759704,-0.0801523700356483,0.7635692954063416,0.5215716361999512,-0.084569826722145,0.77768874168396,0.5869975090026855,-0.0752047374844551,0.4042643308639526,0.559393584728241,-0.1244957000017166,0.6499390602111816,0.4828276634216308,-0.1498965471982956,0.7565359473228455,0.5501508712768555,-0.1049073934555053,0.7654941082000732,0.6105800867080688,-0.0643955618143081,0.4546951949596405,0.6189292669296265,-0.2033406496047973,0.6423854827880859,0.5485020875930786,-0.210058718919754,0.7420885562896729,0.5745598673820496,-0.1611949503421783,0.7848045825958252,0.608657717704773,-0.1169564872980117,train
